Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    48000   2624s |  62    28888    27860 |  47    25684    25042
    48500   2653s |  36    28593    27860 |  55    25571    24990
    49000   2679s |  45    28635    27860 |  63    25611    24942
    49500   2705s |  34    28407    27860 |  30    25272    24898
    50000   2738s |  35    28531    27860 |  38    18616    17653
    50500   2781s |  52    28971    27860 |  46    23355    22904
    51000   2816s |  43    28743    27860 |  54    23109    22564
    51500   2848s |  32    28368    27860 |  62    25832    25048
    52000   2875s |  57    28933    27860 |  29    25181    24981
    52500   2900s |  29    28322    27860 |  37    25424    24942
    53000   2924s |  44    28581    27860 |  45    25367    24901
    53500   2966s |  38    28674    27860 |  53    23277    22662
    54000   2993s |  43    28717    27860 |  61    25625    24977
    54500   3019s |  52    28788    27860 |  28    25231    24954
    55000   3055s |  51    28887    27860 |  36    23118    22654
    55500   3086s |  44    28702    27860 |  44    25601    25103
    56000   3113s |  52    28811    27860 |  52    25685    24915
    56500   3137s |  28    28187    27860 |  60    25533    24875
    57000   3162s |  57    28787    27860 |  27    25125    24808
    57500   3185s |  61    28723    27860 |  35    25110    24779
    58000   3208s |  39    28496    27860 |  43    25182    24763
    58500   3243s |  57    29013    27860 |  51    23372    22813
    59000   3278s |  36    28548    27860 |  59    23128    22560
    59500   3310s |  63    28921    27860 |  26    25555    25162
    60000   3346s |  28    28211    27860 |  34    23423    22771
    60500   3382s |  52    28853    27860 |  42    23224    22671
    61000   3412s |  31    28348    27860 |  50    25604    25086
    61500   3439s |  48    28708    27860 |  58    27905    27190
    62000   3466s |  59    28879    27860 |  38    23964    22838
    62500   3495s |  52    28666    27860 |  46    25579    25058
    63000   3520s |  58    28835    27860 |  54    25690    25023
    63500   3549s |  48    28553    27860 |  53    28241    27072
H   64000   3579s |  59    28965    27847 |  45    23499    22853

Search terminated in 3600.02s after 64355 iterations.
Best-found solution has cost 27847.

Solution results
================
    # routes: 20
   # clients: 326
   objective: 27847
    distance: 27847
    duration: 27847
# iterations: 64355
    run-time: 3600.02 seconds

Solving the file: X-n331-k15.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    330 clients
    330 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     11s |  40    44626    31917 |  61    32551    32113
H    1000     20s |  38    32037    31738 |  64    32751    32016
H    1500     28s |  40    31822    31514 |  43    32236    31772
H    2000     34s |  35    31613    31453 |  42    31824    31655
H    2500     41s |  41    31658    31385 |  41    31764    31526
H    3000     47s |  26    31485    31342 |  52    31754    31465
H    3500     53s |  44    31472    31296 |  52    32068    31717
H    4000     59s |  44    31410    31290 |  63    31950    31726
H    4500     64s |  34    31415    31248 |  46    32091    31878
H    5000     69s |  27    31340    31247 |  29    31529    31398
     5500     74s |  34    31390    31247 |  36    31497    31343
     6000     80s |  27    31466    31247 |  28    31584    31410
     6500     85s |  30    31433    31247 |  48    31707    31353
H    7000     91s |  64    31440    31241 |  45    31619    31424
H    7500     97s |  25    31560    31235 |  42    31464    31276
     8000    103s |  38    31509    31235 |  26    31721    31542
H    8500    108s |  25    31377    31222 |  55    31813    31686
     9000    114s |  32    31275    31222 |  63    31752    31463
H    9500    120s |  58    31294    31216 |  46    31701    31473
H   10000    126s |  33    31358    31210 |  55    31647    31407
    10500    131s |  31    31345    31210 |  32    31546    31413
    11000    137s |  46    31495    31210 |  33    32017    31785
    11500    143s |  30    31412    31210 |  62    31794    31531
    12000    149s |  53    31442    31210 |  48    31869    31673
    12500    154s |  37    31415    31210 |  38    31684    31562
H   13000    159s |  32    31331    31205 |  54    31616    31468
    13500    165s |  65    31357    31205 |  30    31810    31586
    14000    170s |  62    31378    31205 |  50    31715    31484
    14500    176s |  55    31378    31205 |  28    31732    31494
    15000    182s |  49    31407    31205 |  54    31870    31622
    15500    187s |  43    31428    31205 |  30    31827    31633
    16000    193s |  42    31348    31205 |  42    31828    31523
    16500    199s |  37    31535    31205 |  55    32088    31813
    17000    205s |  64    31543    31205 |  48    31795    31541
    17500    211s |  25    31490    31205 |  28    31824    31563
    18000    217s |  52    31401    31205 |  59    31741    31477
    18500    223s |  39    31456    31205 |  47    31846    31599
    19000    228s |  63    31477    31205 |  41    31820    31613
    19500    234s |  46    31452    31205 |  34    31613    31354
H   20000    240s |  33    31455    31204 |  32    31804    31526
    20500    245s |  39    31421    31204 |  37    31975    31654
    21000    251s |  35    31476    31204 |  64    32017    31668
    21500    257s |  29    31432    31204 |  40    31917    31683
    22000    263s |  27    31433    31204 |  56    32032    31698
    22500    268s |  63    31417    31204 |  37    31789    31569
    23000    274s |  34    31513    31204 |  26    31736    31335
    23500    280s |  33    31330    31204 |  49    31539    31340
    24000    289s |  49    32181    31204 |  32    32281    31411
    24500    297s |  47    31542    31204 |  29    31948    31639
    25000    303s |  37    31699    31204 |  63    32105    31527
    25500    309s |  37    31521    31204 |  35    31827    31531
    26000    314s |  46    31541    31204 |  36    31529    31368
    26500    320s |  31    31695    31204 |  27    32148    31690
    27000    325s |  26    31419    31204 |  43    31889    31564
    27500    331s |  57    31535    31204 |  28    32136    31719
    28000    337s |  57    31449    31204 |  51    31978    31588
    28500    343s |  54    31608    31204 |  32    32016    31400
    29000    349s |  62    31558    31204 |  37    31893    31407
    29500    356s |  45    31798    31204 |  63    32341    31978
    30000    361s |  50    31660    31204 |  27    32084    31626
    30500    368s |  40    31488    31204 |  43    31695    31360
    31000    374s |  38    31456    31204 |  56    31519    31311
    31500    380s |  61    31489    31204 |  64    31751    31447
    32000    386s |  48    31484    31204 |  27    31743    31384
    32500    392s |  64    31490    31204 |  42    31626    31333
    33000    398s |  43    31606    31204 |  29    32347    31604
    33500    404s |  32    31498    31204 |  45    31865    31416
    34000    410s |  62    31505    31204 |  34    31726    31423
    34500    416s |  54    31398    31204 |  63    31592    31360
    35000    423s |  39    31723    31204 |  25    31744    31537
    35500    429s |  48    31506    31204 |  39    31693    31372
    36000    435s |  34    31466    31204 |  41    32122    31698
    36500    441s |  30    31703    31204 |  63    32344    31711
    37000    447s |  45    31608    31204 |  33    32072    31726
    37500    453s |  44    31582    31204 |  31    31827    31489
    38000    459s |  29    31492    31204 |  27    31946    31616
    38500    465s |  56    31472    31204 |  59    31805    31356
    39000    471s |  62    31428    31204 |  38    31601    31363
    39500    477s |  59    31595    31204 |  46    31634    31317
R                 |        restart        |        restart
    40000    486s |  37    46061    32411 |  35    33653    32892
    40500    497s |  47    43041    32152 |  55    32836    32305
    41000    507s |  63    40189    31910 |  35    33025    32172
    41500    516s |  51    41688    31673 |  32    32713    32249
    42000    524s |  32    47363    31653 |  29    32301    32019
    42500    533s |  51    41497    31566 |  34    32354    31879
    43000    541s |  47    42247    31494 |  63    32652    31820
    43500    549s |  30    31766    31467 |  36    32004    31689
    44000    557s |  61    31688    31394 |  40    32174    31590
    44500    565s |  46    31545    31354 |  43    32200    31773
    45000    571s |  56    31448    31305 |  30    31863    31617
    45500    578s |  29    31409    31305 |  30    31564    31446
    46000    584s |  27    31536    31282 |  49    31592    31450
    46500    591s |  25    31380    31279 |  35    31921    31596
    47000    597s |  61    31519    31247 |  64    31924    31708
    47500    604s |  62    31602    31240 |  39    31865    31695
    48000    610s |  31    31439    31240 |  54    32002    31587
    48500    616s |  33    31442    31212 |  26    31734    31496
    49000    622s |  57    31365    31206 |  55    31935    31612
    49500    628s |  51    31363    31206 |  50    31665    31517
    50000    635s |  42    31472    31206 |  36    32044    31643
    50500    641s |  42    31345    31206 |  57    31484    31320
    51000    648s |  25    31353    31206 |  58    32050    31556
    51500    654s |  54    31463    31206 |  54    31611    31392
    52000    661s |  32    31389    31206 |  26    31823    31589
    52500    668s |  25    31479    31206 |  44    32031    31750
    53000    674s |  55    31496    31206 |  37    31738    31509
    53500    680s |  35    31353    31204 |  43    31724    31530
    54000    687s |  63    31419    31204 |  49    31635    31377
    54500    693s |  47    31416    31204 |  35    32148    31861
    55000    699s |  28    31369    31204 |  65    32101    31699
    55500    705s |  28    31366    31204 |  38    31430    31338
    56000    711s |  41    31340    31204 |  55    31917    31598
    56500    717s |  31    31429    31204 |  42    31755    31419
    57000    724s |  64    31354    31204 |  65    32081    31518
    57500    730s |  50    31433    31204 |  25    31521    31317
    58000    736s |  29    31342    31204 |  25    31606    31453
    58500    741s |  35    31422    31204 |  28    31753    31687
    59000    747s |  54    31373    31204 |  29    31547    31470
    59500    753s |  39    31532    31204 |  58    32469    31734
